_CUSTOM_FIELDS
- _zl_process_id=75076 _zl_received_time=1718260718333 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:08:38:332" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /index.html | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260723101 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:08:43:101" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260723118 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:08:43:118" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260948033 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:12:28:033" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | POST | /app | /login" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260948193 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:12:28:193" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/home" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260948201 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:12:28:201" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/employees" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260950005 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:12:30:005" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/branches" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718260950688 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:12:30:688" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/accounts" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718261609478 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:23:29:478" service=ZohoLogs _zl_host=127.0.0.1 "url=127.0.0.1 | GET | /index.html | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718261616651 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:23:36:651" service=ZohoLogs _zl_host=127.0.0.1 "url=127.0.0.1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718261630507 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:23:50:507" service=ZohoLogs _zl_host=127.0.0.1 "url=127.0.0.1 | POST | /app | /login" account=sharan-pt-7373
