_CUSTOM_FIELDS
- _zl_process_id=103103 _zl_received_time=1718083820958 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 11:00:20:958" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /index.html | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718083833753 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 11:00:33:753" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718083833770 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 11:00:33:770" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718083845325 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 11:00:45:325" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | POST | /app | /login" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718083845701 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 11:00:45:701" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/home" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718083845709 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 11:00:45:709" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/employees" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718089991564 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:43:11:564" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /index.html | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718089992982 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:43:12:982" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718089992988 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:43:12:988" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718090076912 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:44:36:912" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /index.html | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718090078221 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:44:38:221" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718090089169 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:44:49:169" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | POST | /app | /login" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718090089181 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:44:49:181" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/home" account=sharan-pt-7373
- _zl_process_id=103103 _zl_received_time=1718090089185 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=11-06-2024 12:44:49:185" service=ZohoLogs _zl_host=127.0.0.1 "url=0:0:0:0:0:0:0:1 | GET | /app | /admin/employees" account=sharan-pt-7373
